Rank,Candidate Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,Mean Fit Time (s),Total Runtime (s),MLflow Run ID
1,Gradient Boosting,0.670528286628279,0.008518735517572184,0.6980574422660428,0.006061041524486995,0.8414869928686771,0.008124902344155036,0.7630785269768319,0.006065193760046271,0.698842237064457,0.011693252539585811,7.052250528335572,20.237498527999833,1d7330922a354de8bc59e6d83f9f05eb
2,AdaBoost,0.6650897197696738,0.010708329255926711,0.6961826391199504,0.007347768766424962,0.8320485620172707,0.018932332008532483,0.7579861132769867,0.009237561342733805,0.6933412363250471,0.012049216170031643,1.2156763553619385,3.7408221159998902,89593592bd3e462da24195c39f5e18d7
3,Random Forest,0.650563419065899,0.007034897610525974,0.6929193284410455,0.004017538926679661,0.800589975971382,0.008602632687342885,0.74286712166851,0.005788209076899537,0.6741462281471817,0.010396624992936674,7.549718236923217,21.768729532999714,57c148af94d04504be6bce517cf93c20
4,XGBoost,0.6480671324376199,0.009379331520411253,0.6932196048261327,0.008465679056399335,0.7928767123287671,0.00917864169742448,0.7396634720216118,0.006168834675412444,0.6663396379898969,0.010473162689645259,0.7189735412597656,2.363631261000137,25de7db920654dc7b1c26c5e21d7e4e4
5,Bagging,0.6190816429942417,0.00859075468842218,0.6979869914304706,0.007353487088870568,0.6978905294279747,0.008692014836290632,0.6979193230578902,0.006898137931322019,0.6324903341655472,0.00964334086769307,3.8137287139892577,11.174044049000258,883b663f45b248e3923d003eec37a8d1
6,Decision Tree,0.5910550684580934,0.01169992792138961,0.6766645207606715,0.007621988791788034,0.6729273964876497,0.016490377428800107,0.6747464769308777,0.011284802908275717,0.5621294420898113,0.010854976316870409,0.4575471878051758,8.87706316699996,25af4ecc3d474e54999ff99cd993f7a9
