Rank,Candidate Model,Best CV Accuracy,CV Accuracy Std,Best CV Precision,CV Precision Std,Best CV Recall,CV Recall Std,Best CV F1,CV F1 Std,Best CV ROC-AUC,CV ROC-AUC Std,Evaluated Candidates,Search Runtime (s),Best Parameters,MLflow Run ID
1,Bagging,0.6585619245041586,0.004128364060697478,0.6611339168261756,0.002660426721721515,0.9406333459528646,0.004019143801197451,0.776493645812258,0.002616530867321994,0.6991608307297305,0.01230456788754884,15,622.8103247830004,"{""estimator__max_depth"": 5, ""max_features"": 0.7, ""max_samples"": 1.0, ""n_estimators"": 200}",bd71556d3db844dcae4eb0a5084a8b52
2,AdaBoost,0.6305349404990401,0.00010324074966907026,0.6305349404990401,0.00010324074966907026,1.0,0.0,0.7734086781325666,7.766075461769017e-05,0.6487051336693795,0.008336502974202601,15,287.8429488970014,"{""estimator__max_depth"": 1, ""learning_rate"": 0.03, ""n_estimators"": 50}",4a36dae7c42d4875b46e517e7ff98430
3,Gradient Boosting,0.6636177607165706,0.0076448437717817974,0.6783687444479577,0.004611567255768901,0.8871543986793273,0.010608569061840855,0.7688152537181606,0.005774686897712563,0.6971714890348946,0.009756182929988925,15,460.8402387249989,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",8f79d1f0acbe4afc96d0744698a2c228
4,XGBoost,0.6695687575175944,0.008609503049268689,0.6916885533733709,0.005486958796783729,0.8587394375809646,0.009849174678921765,0.7661966903291096,0.006407325636308522,0.7011431134888814,0.010511441237184435,15,49.85540492099972,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""subsample"": 0.8}",fb84e5d407ce48f59487fd12191d8bc5
5,Random Forest,0.6663050850927703,0.008085267586171431,0.6930787902364006,0.004770708193718218,0.8449378423691754,0.009873780664019484,0.7614969497430929,0.0063100406653814126,0.6959941994964283,0.011827060880300073,15,1315.55676323,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 150}",664e3a29169d4778a08195152a21f124
6,Decision Tree,0.6631060473448497,0.010390636125285294,0.6931658588435644,0.006263123224256388,0.8360080043885064,0.03001910621831221,0.7576137769804812,0.011589344048545459,0.6784914178703686,0.01141299687547211,15,13.219704312999966,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",0f29cc8de9a6402baccd6beefefa9a5e
