Rank,Candidate Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,True Negatives,False Positives,False Negatives,True Positives,Predicted Class 1 Rate (%),Tuned MLflow Run ID,Evaluation MLflow Run ID,Specificity,False Negative Rate,False Positive Rate,Balanced Accuracy,Degenerate Prediction Behaviour,Selected Model
1,Bagging,0.6583056053237778,0.6595022624434389,0.9468128298822575,0.7774629104850809,0.7021901988768962,240,1204,131,2332,90.50422318914768,bd71556d3db844dcae4eb0a5084a8b52,c9e587d1f206477abb4066a9f04f1db2,0.16620498614958448,0.05318717011774259,0.8337950138504155,0.556508908015921,False,True
2,AdaBoost,0.6304069618633222,0.6304069618633222,1.0,0.7733124018838304,0.6524660543917007,0,1444,0,2463,100.0,4a36dae7c42d4875b46e517e7ff98430,892f14f8a2b44a329937614a4d6e7084,0.0,0.0,1.0,0.5,True,False
3,Gradient Boosting,0.6657281801894036,0.6782742681047765,0.8936256597645148,0.771198318149965,0.6953051983764141,400,1044,262,2201,83.05605323777834,8f79d1f0acbe4afc96d0744698a2c228,6f4973e4a8a14384b879c1911d59c507,0.2770083102493075,0.10637434023548518,0.7229916897506925,0.5853169850069111,False,False
4,XGBoost,0.6634246224724852,0.6870925684485006,0.8558668290702396,0.7622491412041222,0.7023299401783515,484,960,355,2108,78.52572306117226,fb84e5d407ce48f59487fd12191d8bc5,04390d8af84b45299f33b9f7f8168151,0.33518005540166207,0.14413317092976047,0.6648199445983379,0.5955234422359508,False,False
5,Random Forest,0.6634246224724852,0.689064558629776,0.8493706861550954,0.7608656119294417,0.6997372751064789,500,944,371,2092,77.70668031737907,664e3a29169d4778a08195152a21f124,30ed794897824295b84f422486c3de64,0.3462603878116344,0.15062931384490458,0.6537396121883656,0.5978155369833649,False,False
6,Decision Tree,0.6598413104683901,0.6895053475935828,0.8375964271213967,0.7563703024747938,0.6821695160396022,515,929,400,2063,76.58049654466342,0f29cc8de9a6402baccd6beefefa9a5e,55b03de24c6c40eabf5dd246b6f6a8ba,0.35664819944598336,0.16240357287860333,0.6433518005540166,0.59712231328369,False,False
