mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1.2189436435699463,0.3229417592779607,0.14889421463012695,0.0539160521842771,1.0,500,3,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6583493282149712,0.6589891234804862,0.6605886116442738,0.67808,0.6672,0.6646414126679463,0.007417626231841429,6,0.6918827029324267,0.6951272100043122,0.6983435047951178,0.7084775086505191,0.7005601034037053,0.6988782059572163,0.005626159076305054,4,0.8259766615930999,0.8178589548452562,0.8127853881278538,0.8314720812182741,0.8249619482496194,0.8226110068068208,0.006549778283317057,8,0.7530064754856615,0.7515151515151515,0.7512309495896835,0.765063054647361,0.7576887232059646,0.7557008708887644,0.0052223031556508925,7,0.679792488924909,0.6834876268666223,0.6824672030151483,0.7065655833168523,0.6866087734894268,0.6877843351225919,0.00964075132155292,8
2.2480186939239504,0.37833054393684307,0.23015999794006348,0.08044588084026406,0.8,500,5,0.03,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.6589891234804862,0.6564299424184261,0.664427383237364,0.67264,0.66752,0.6640012898272553,0.005824728378138626,7,0.6932934643314823,0.6932356742783283,0.6993944636678201,0.7029575653664809,0.6982978723404255,0.6974358079969074,0.0037381660132860695,7,0.8234398782343988,0.8163368848300355,0.8203957382039574,0.8324873096446701,0.832572298325723,0.8250464218477569,0.00651262625623857,7,0.7527829313543599,0.749767008387698,0.7550782162035956,0.7622588891471067,0.7595464012959963,0.7558866892777514,0.004510783953732038,6,0.68670989081948,0.683582948423131,0.6860270458443974,0.7101158063594613,0.692857525981146,0.6918586434855231,0.009626277331090522,6
0.9124133110046386,0.014211562814679387,0.09255928993225097,0.005965829034251329,0.8,500,3,0.03,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.663147792706334,0.6599488163787588,0.6679462571976967,0.68096,0.67392,0.6691845732565579,0.007541356543907562,3,0.6939983093829247,0.6925360474978796,0.6992738146091414,0.7067573310667233,0.7028985507246377,0.6990928106562613,0.0053330362714036185,3,0.8330796549974632,0.8285134449518011,0.8305428716387621,0.8441624365482233,0.8366311516996449,0.8345859119671788,0.005502411642606878,3,0.7572054415494581,0.7544467544467545,0.7592764378478665,0.7693731205181586,0.7639564512392866,0.7608516411203049,0.0052735958693086215,3,0.6941921937355727,0.6939815638445774,0.692491780163013,0.7201103126991453,0.6984259193311685,0.6998403539546955,0.010325701186776889,3
1.5625390529632568,0.0184277956151715,0.15270776748657228,0.008537228704059615,1.0,500,5,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6426743442098528,0.6391554702495201,0.6429942418426103,0.65824,0.6576,0.6481328112603967,0.008106483043565618,13,0.6863001745200699,0.686421937195931,0.6917900403768507,0.6981546572934973,0.6975010960105217,0.6920335810793742,0.005133869952853688,12,0.7980720446473871,0.7874175545408422,0.7823439878234398,0.8065989847715737,0.8072044647387113,0.7963274073043909,0.010017793551484053,14,0.7379779498006099,0.7334593572778828,0.7342857142857143,0.748469147432878,0.7483537158984007,0.7405091769390972,0.006629275635032865,13,0.6579076259441556,0.6602803420155019,0.6618412874120637,0.6875122508625047,0.6696756346574726,0.6674434281783397,0.010783002350781685,14
1.1777276515960693,0.20860892682148782,0.12071781158447266,0.0350290651695842,0.8,300,5,0.03,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.6641074856046065,0.6589891234804862,0.6615483045425464,0.67776,0.672,0.6668809827255279,0.006970918733440561,5,0.6963752665245203,0.6926351638995317,0.6953359007274283,0.7044585987261146,0.7011054421768708,0.6979820744108932,0.004239677161541469,5,0.8285134449518011,0.8254693049213597,0.8244545915778793,0.8421319796954315,0.8366311516996449,0.8314400945692233,0.00684509080622897,4,0.7567191844300278,0.7532407407407408,0.7544103992571959,0.7671676300578034,0.7628961369419385,0.7588868182855413,0.005315291811123284,5,0.6888287089200331,0.6874041568105496,0.6876475123050465,0.7159518315863495,0.696334721749598,0.6952333862743154,0.010865809917932933,4
2.5938645362854005,0.26283256214724404,0.1261218547821045,0.024451704240707067,1.0,150,8,0.03,1.0,"{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.653870761356366,0.6580294305822136,0.6589891234804862,0.67136,0.664,0.6612498630838133,0.005995187951636542,9,0.6881083368599238,0.6937285223367697,0.6952956409149763,0.6993657505285412,0.6973853407629661,0.6947767182806355,0.0038392560330590166,10,0.8249619482496194,0.8193810248604769,0.817351598173516,0.8395939086294416,0.8254693049213597,0.8253515569668828,0.00778019067558801,6,0.7503461005999077,0.7513375203535706,0.7513992537313433,0.7630911188004613,0.7560408921933085,0.7544429771357183,0.004754707101863172,9,0.677485882965335,0.677138420517416,0.6821406058848981,0.7046933438811612,0.688548071824822,0.6860012650147265,0.0102161291125778,9
1.0875964164733887,0.04120342855990499,0.08184661865234374,0.0025079010356578494,0.8,150,8,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6385156749840051,0.6372360844529751,0.6573896353166987,0.65408,0.6432,0.6460842789507357,0.008193119242390372,15,0.6814846784635304,0.6844424856765094,0.6989389920424404,0.6952129995608256,0.6854419410745234,0.6891042193635657,0.006741533889350555,15,0.8011161846778285,0.7879249112125825,0.802130898021309,0.8035532994923857,0.8026382546930492,0.799472709619431,0.00582735811868528,13,0.7364738805970149,0.7325471698113207,0.7469879518072289,0.7454673887449965,0.7394250993222715,0.7401802980565665,0.005419778221619577,14,0.6631630503776622,0.6628533651364702,0.6715377299852185,0.6923036016437032,0.6659935617581447,0.6711702617802398,0.011016692008164658,13
0.7746134757995605,0.020695261469250787,0.09450640678405761,0.0010156268753595528,1.0,300,5,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6439539347408829,0.6407549584133078,0.6468330134357005,0.656,0.64576,0.6466603813179783,0.005104269551053933,14,0.6868466898954704,0.6889483065953654,0.6903820816864296,0.6993318485523385,0.6901408450704225,0.6911299543600052,0.004287532169137763,14,0.8001014713343481,0.7843734145104008,0.7975646879756468,0.7969543147208121,0.7955352612886859,0.7949058299659787,0.005469706830424721,15,0.739161003046637,0.733570581257414,0.7401129943502824,0.7449584816132859,0.7390996936130096,0.7393805507761259,0.0036202931862881604,15,0.6618549047772792,0.6583851122663908,0.6657020300855918,0.67491550750434,0.6601822615093904,0.6642079632285985,0.005874223215465587,15
0.8282540798187256,0.019831332036206562,0.10048885345458984,0.005923315644807471,1.0,500,3,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",0.6557901471529111,0.6436340371081254,0.663147792706334,0.66112,0.65984,0.656706395393474,0.006964438882979235,10,0.6903445342407486,0.6886833993835315,0.7030973451327434,0.6995181778361804,0.6970486111111112,0.695738413540863,0.005459382174560885,8,0.8234398782343988,0.793505834601725,0.8061897513952309,0.8106598984771574,0.8148148148148148,0.8097220355046654,0.009903912357942654,11,0.7510411846367423,0.7373880245167374,0.751122666036398,0.7509992946155655,0.7513450292397661,0.7483792398090419,0.005496903591460162,10,0.6698926644132124,0.6659510960880823,0.6771445702952552,0.6905676049838486,0.6728556266910057,0.675282312494281,0.008474867322310325,12
1.5433018684387207,0.30430860669476045,0.1881193161010742,0.04411574258464218,1.0,500,5,0.03,0.8,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.6663467690339091,0.6634676903390915,0.6641074856046065,0.67488,0.67168,0.6680963889955214,0.0044554913896373925,4,0.6974468085106383,0.6959488272921108,0.6978942844864633,0.7040205303678357,0.7025289327046721,0.6995678766723441,0.00313021843092048,2,0.8315575849822425,0.8280060882800608,0.823947234906139,0.8355329949238579,0.8315575849822425,0.8301202976149085,0.0038988579463443422,5,0.7586206896551724,0.7562557924003707,0.755700325732899,0.7641597028783659,0.7616171003717472,0.7592707222077111,0.003214582322374151,4,0.6867856648678567,0.6848221286577452,0.6863483717364995,0.710579031797306,0.6948117724333862,0.6926693938985589,0.009607268869875377,5
