mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.24711394309997559,0.019980618985363047,0.02436099052429199,0.0018699552065649578,10,5,,,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': None, 'class_weight': None}",0.6113243761996161,0.5985284708893154,0.599488163787588,0.60896,0.5856,0.6007802021753039,0.009113362643619692,13,0.6940451745379876,0.686264308012487,0.6891109942135718,0.687,0.6735112936344969,0.6859863540797086,0.006803526037241002,12,0.6859462201927955,0.6692034500253679,0.6646372399797057,0.6974619289340102,0.6656519533231862,0.676580158491013,0.012963381095845258,8,0.689971931615208,0.6776265091189314,0.6766528925619835,0.6921914357682619,0.6695585608573615,0.6812002659843494,0.008564199584288949,8,0.6097963764630432,0.586562735421183,0.6004972534652899,0.6126178390137781,0.5801339966780008,0.597921640208259,0.0127204275433117,13
0.18648939132690429,0.015283074061147801,0.025118684768676756,0.003472310943372117,30,15,10,balanced,"{'min_samples_split': 30, 'min_samples_leaf': 15, 'max_depth': 10, 'class_weight': 'balanced'}",0.6036468330134357,0.5959692898272553,0.5962891874600128,0.61312,0.60544,0.6028930620601407,0.006374874191893499,12,0.7462987886944819,0.7275064267352185,0.7236593059936909,0.739760554505356,0.7353316326530612,0.7345113417163617,0.008173206611925766,5,0.5626585489599188,0.5743277524099442,0.5819381024860477,0.5959390862944163,0.5849822425164891,0.5799691465333633,0.011095305411360189,15,0.6415967601967023,0.6419053019563369,0.6451068616422947,0.6601068315996627,0.6515964961853631,0.6480624503160719,0.007014381366347666,15,0.6483906251029539,0.6367820408916299,0.639304547980347,0.6653695035928539,0.6492184772793019,0.6478130389694172,0.010046050469331356,7
0.17527050971984864,0.0019379311437128489,0.02413325309753418,0.0034268000272880267,2,1,10,,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': None}",0.6324376199616123,0.6356365962891874,0.6327575175943698,0.6496,0.63296,0.636678346769034,0.00656105379112932,4,0.6812169312169312,0.6903019213174748,0.6931018301267011,0.685932851678708,0.6857529305680794,0.6872612929815789,0.004097109162035409,11,0.7838660578386606,0.7656012176560122,0.7493658041603247,0.8192893401015229,0.771689497716895,0.777962383494683,0.02346351456897244,4,0.7289455060155697,0.7260043300457061,0.7201365187713311,0.7467036780013879,0.7261876342802578,0.7295955334228506,0.009023243574126897,4,0.6305072907812636,0.6268844127291616,0.6410794177917466,0.6662799129804206,0.6248987704734246,0.6379299609512034,0.0152351629574132,9
0.27215065956115725,0.013250319780950315,0.0262969970703125,0.008862742815194538,2,1,,,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': None}",0.5873320537428023,0.5786948176583493,0.5985284708893154,0.60736,0.58336,0.5910550684580934,0.010464733665629994,15,0.6778067885117494,0.6673490276356192,0.6832139201637666,0.6845504222553402,0.6704024452368823,0.6766645207606715,0.006817314024871814,15,0.6585489599188229,0.6615930999492643,0.6773211567732116,0.6994923857868021,0.6676813800101471,0.6729273964876497,0.014749441962170096,9,0.6680391147709728,0.6644585987261147,0.6802547770700637,0.691940748179764,0.6690391459074733,0.6747464769308777,0.01009343456623673,10,0.5621749128598443,0.5494112685893507,0.5706952104212378,0.5748544180016262,0.5535114005769972,0.5621294420898113,0.009708985975469013,15
0.25887293815612794,0.01234705036954906,0.022872352600097658,0.0011005370682981989,10,1,20,,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'class_weight': None}",0.589571337172105,0.5847728726807422,0.6058861164427384,0.60544,0.58016,0.5931660652591171,0.01062990744399076,14,0.6787941787941788,0.6733642452344153,0.691948051948052,0.6858295511850732,0.6697578567748583,0.6799387767873155,0.008088381975371628,14,0.6626078132927448,0.663115169964485,0.6757990867579908,0.6903553299492385,0.6595636732623034,0.6702882146453526,0.01147619929130638,10,0.6706033376123235,0.668200408997955,0.6837782340862423,0.6880849987351378,0.6646216768916156,0.6750577312646547,0.009181858086086488,9,0.5835482461053237,0.5667655023819407,0.5996301347899522,0.6110163271584591,0.5645721277413307,0.5851064676354012,0.018125870482663373,14
0.10796256065368652,0.004480332822185405,0.020090723037719728,0.000156727647843109,30,5,5,balanced,"{'min_samples_split': 30, 'min_samples_leaf': 5, 'max_depth': 5, 'class_weight': 'balanced'}",0.6308381317978247,0.6231605886116443,0.6074856046065259,0.6352,0.6176,0.6228568650031989,0.009798531778493791,5,0.7471264367816092,0.7458152510849348,0.7412451361867705,0.7680878552971576,0.761808367071525,0.7528166092843994,0.010289399713126002,2,0.6265854895991883,0.6103500761035008,0.5799086757990868,0.6035532994923858,0.5728056823947235,0.5986406446777771,0.01980147092294896,11,0.6815673289183223,0.6713169642857143,0.6507258753202391,0.6759522455940875,0.6539241239501883,0.6666973076137103,0.012217638960080913,12,0.6767149643861972,0.6770415615164475,0.6610833272933729,0.6992051772254818,0.6813806696228766,0.6790851400088752,0.012197906052986816,1
0.09526267051696777,0.0015313956593994951,0.020667839050292968,0.0008729343574527275,10,1,5,,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'class_weight': None}",0.6593090211132437,0.6583493282149712,0.6503518873960332,0.68128,0.66624,0.6631060473448497,0.010390636125285294,1,0.6945876288659794,0.6897856242118537,0.6959821428571429,0.7020746887966804,0.6833992094861661,0.6931658588435644,0.006263123224256388,6,0.8203957382039574,0.832572298325723,0.7909690512430239,0.8588832487309644,0.8772196854388635,0.8360080043885064,0.03001910621831221,2,0.7522679692951849,0.7544827586206897,0.7404417003087153,0.7726027397260274,0.7682737169517885,0.7576137769804812,0.011589344048545459,1,0.6739266990408542,0.6709293412489761,0.6670009510192159,0.6993095567714857,0.681290541271311,0.6784914178703686,0.01141299687547211,4
0.20024604797363282,0.00991884599714506,0.02190432548522949,0.0021103132614585444,10,15,20,,"{'min_samples_split': 10, 'min_samples_leaf': 15, 'max_depth': 20, 'class_weight': None}",0.6151631477927063,0.6036468330134357,0.6145233525271913,0.63552,0.60736,0.6152426666666666,0.011029902765526603,9,0.6801125703564728,0.674618320610687,0.6861030126336248,0.7051851851851851,0.6797101449275362,0.6851458467427012,0.010660213727866392,13,0.7356671740233384,0.71740233384069,0.7163876204972095,0.7248730964467005,0.7138508371385084,0.7216362123892892,0.007917459377687354,5,0.7067999025103583,0.6953528399311532,0.7009183420203524,0.7148936170212766,0.696362286562732,0.7028653976091745,0.007248150007512713,5,0.6227089332112162,0.6151405334053736,0.6252197996490234,0.6505985892280308,0.6243096388095319,0.6275954988606351,0.01203816994237829,10
0.09483308792114258,0.0009528094351500348,0.02207942008972168,0.0033325707297182493,2,5,5,,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 5, 'class_weight': None}",0.6593090211132437,0.6583493282149712,0.6500319897632757,0.68128,0.66624,0.6630420678182982,0.01046965629032442,3,0.6945876288659794,0.6897856242118537,0.6954971020954079,0.7020746887966804,0.6833992094861661,0.6930688506912175,0.006222374934976487,8,0.8203957382039574,0.832572298325723,0.791476407914764,0.8588832487309644,0.8772196854388635,0.8361094757228544,0.029867165893778184,1,0.7522679692951849,0.7544827586206897,0.7403891789273849,0.7726027397260274,0.7682737169517885,0.757603272704215,0.011604916945402086,3,0.6739266990408542,0.6709293412489761,0.666243210535448,0.6991770496846639,0.6814176002644937,0.6783387801548871,0.011527199654199393,6
0.33515591621398927,0.05307671004798812,0.044062232971191405,0.007507463668396964,2,1,10,balanced,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': 'balanced'}",0.6116442738323736,0.5953294945617402,0.6020473448496481,0.61472,0.6,0.6047482226487524,0.007287587576899114,11,0.7397086763774541,0.738191632928475,0.7234173325138291,0.7474160206718347,0.7285986049461002,0.7354664534875386,0.008491924090007565,4,0.5925925925925926,0.5550481988838153,0.5971588026382547,0.5873096446700508,0.5829528158295282,0.5830124109228484,0.014780847092154532,14,0.6580281690140845,0.6336518969012453,0.6542523624235687,0.6577600909607731,0.6476888387824127,0.6502762716164169,0.009110141674974773,14,0.6337168159085966,0.6420892991669247,0.6267530710453084,0.6542030896345618,0.6393929481819133,0.639231044787461,0.009148382442255087,8
