mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
19.757031393051147,0.18121169524817066,0.4952095985412598,0.01139895891587579,300,5,sqrt,,,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.655150351887396,0.6625079974408189,0.6653870761356366,0.67296,0.65952,0.6631050850927703,0.005980199998389041,2,0.6900808854831844,0.6957264957264957,0.6987537602062742,0.700168918918919,0.6933901918976546,0.6956240504465055,0.0036380821726340125,6,0.8224251648909183,0.8259766615930999,0.8249619482496194,0.8416243654822335,0.8249619482496194,0.8279900176930981,0.006917442276441318,4,0.750462962962963,0.7552771978659244,0.7566309911586785,0.764407561088059,0.7534754402224282,0.7560508306596107,0.0046610500674648106,3,0.6807364798232378,0.6827536069545201,0.6828748454319231,0.7083433317951084,0.6899822117409544,0.6889380951491487,0.01019736018840303,6
39.34838080406189,1.420944030985693,1.110008430480957,0.32706919348329716,500,1,sqrt,20,balanced,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.6525911708253359,0.6612284069097889,0.653230966090851,0.66784,0.65376,0.6577301087651952,0.0059474485663914885,6,0.6938239159001314,0.7024866785079928,0.6973742768135291,0.7058303886925795,0.6987036209208761,0.6996437761670219,0.004153590278064873,5,0.8036529680365296,0.8026382546930492,0.7950279046169457,0.8111675126903554,0.7929984779299848,0.801097023593373,0.006522938647014344,11,0.7447108603667136,0.7492304049254085,0.7430061640587956,0.75484175720359,0.7428707224334601,0.7469319817975936,0.004575730516529965,9,0.6745462891581613,0.6780837292252817,0.6753466388169584,0.7029285604412507,0.6827967838686957,0.6827404003020696,0.010498197376375015,10
21.466237354278565,0.9449007208859326,0.22357020378112794,0.0814200401443269,150,1,,10,,"{'n_estimators': 150, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'class_weight': None}",0.6525911708253359,0.6593090211132437,0.6573896353166987,0.6784,0.66464,0.6624659654510556,0.008852873853298969,3,0.6878980891719745,0.68938127090301,0.6924721984602225,0.7002905770029058,0.6935010482180294,0.6927086367512285,0.0042984268861603865,14,0.821917808219178,0.8366311516996449,0.8214104515474379,0.8563451776649746,0.839167935058346,0.8350945048379164,0.012895145297203658,2,0.7489597780859917,0.7559019023607609,0.7514504525411928,0.7704955469285225,0.7594123048668503,0.7572439969566636,0.007540554262726751,2,0.682911304829113,0.6823459645377453,0.6863305813077503,0.710569802447975,0.6921659557518155,0.6908647217748799,0.010453400498880962,4
11.732816457748413,0.9207451201654515,0.3919713497161865,0.11784451900977662,150,1,sqrt,,,"{'n_estimators': 150, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.6493921944977608,0.6561100447856686,0.6503518873960332,0.66336,0.64608,0.6530588253358924,0.006081115643916413,10,0.6901347240330291,0.6954624781849913,0.6920384951881015,0.6981865284974094,0.6901098901098901,0.6931864232026843,0.0031710295381979095,11,0.8056823947234906,0.808726534753932,0.8026382546930492,0.8208121827411168,0.7965499746321664,0.8068818683087511,0.008045513965234438,9,0.7434456928838952,0.7478301665493784,0.7432464176650223,0.7545496966868875,0.7395195478097033,0.7457183043189775,0.005141070352802255,10,0.6720130199582255,0.6742047568531586,0.673552221497427,0.6943175775155471,0.671261893645028,0.6770698938938773,0.008687582639097859,14
20.0860237121582,0.6965965553216533,0.6536541938781738,0.2347764650418543,300,5,sqrt,20,,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.653870761356366,0.6621880998080614,0.6589891234804862,0.67552,0.66144,0.6624015969289827,0.007176111473658457,4,0.688267683185091,0.6950959488272921,0.6937901498929336,0.7018581081081081,0.6955032119914347,0.6949030204009718,0.004336747100604718,7,0.8244545915778793,0.8269913749365804,0.821917808219178,0.8436548223350254,0.823947234906139,0.8281931663949603,0.007898001053727713,3,0.7502308402585411,0.7553290083410565,0.7524384579656294,0.7662517289073306,0.7542963307013469,0.7557092732347809,0.0055496998117002296,4,0.6820942629161807,0.6821153478687725,0.6815851491650577,0.7097198233238842,0.6889419986687382,0.6888913163885266,0.010764042313496215,7
26.341148710250856,0.6930368094643736,0.6938732624053955,0.1834876349105699,500,1,sqrt,10,balanced,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.635956493921945,0.6413947536788228,0.6298784388995522,0.65824,0.64032,0.641157937300064,0.009453435189216246,15,0.7365133446905168,0.7497062279670975,0.7408284023668639,0.7690930787589498,0.7549668874172185,0.7502215882401293,0.011446086640928796,1,0.6580416032470827,0.6473871131405378,0.6352105530187722,0.6543147208121828,0.6362252663622526,0.6462358513161657,0.009249198110563989,15,0.695069667738478,0.6947998910971958,0.6839661294728216,0.7070762479429512,0.6905286343612335,0.694288114122536,0.007550975612724666,15,0.6875368163039396,0.68659897518345,0.6862620552118269,0.7178262684861669,0.6981368491304153,0.6952721928631598,0.012108971208706217,2
53.24550414085388,0.5039043233204618,0.7206560611724854,0.1989000647946322,300,5,,,,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': None, 'class_weight': None}",0.6513115802943058,0.6567498400511836,0.654510556621881,0.66784,0.65344,0.656770395393474,0.005805749490019227,7,0.6886509635974304,0.6945407279029463,0.6934433347807208,0.7008620689655173,0.6922077922077922,0.6939409774908813,0.003987406030051299,9,0.8158295281582952,0.8132927447995941,0.8102486047691527,0.8253807106598985,0.8112633181126332,0.8152029812999148,0.005434970693863319,7,0.7468648397584765,0.7492404767469035,0.7473093121197941,0.7580419580419581,0.747021723896286,0.7496956621126836,0.004259718688622473,7,0.6756286500578739,0.675067263195117,0.6761641199997364,0.7030918320258421,0.6807728528129279,0.6821449436182995,0.010667526988303684,12
52.81840391159058,0.6268894690160889,0.6667032241821289,0.18598274942663146,300,5,,20,,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 20, 'class_weight': None}",0.6506717850287908,0.6557901471529111,0.653230966090851,0.66944,0.65408,0.6566425796545106,0.006608432775248809,8,0.6883840548649807,0.693304535637149,0.692742285962625,0.7013321873657069,0.6923076923076923,0.6936141512276308,0.004230480718663892,10,0.8148148148148148,0.8143074581430746,0.808726534753932,0.8284263959390863,0.8127853881278538,0.8158121183557523,0.006659507587031398,6,0.7462825278810409,0.7489500699953336,0.7462546816479401,0.7595997207353968,0.7477246207701284,0.749762324205968,0.005019938275521113,6,0.6758368639647178,0.6752192505617163,0.6766719159413224,0.7038358933790406,0.6810203760418618,0.6825168599777317,0.01085155721588195,11
7.790955972671509,1.5425947100882067,0.1758194923400879,0.00321278039774216,150,1,sqrt,10,,"{'n_estimators': 150, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': None}",0.6564299424184261,0.6609085092770314,0.6657069737683942,0.68032,0.66816,0.6663050850927703,0.008085267586171431,1,0.6869528970404335,0.6886128364389233,0.6956889264581573,0.700041203131438,0.6940980881130507,0.6930787902364006,0.004770708193718218,12,0.8361237950279046,0.8437341451040081,0.8351090816844241,0.8624365482233503,0.8472856418061897,0.8449378423691754,0.009873780664019484,1,0.754233409610984,0.7583219334245326,0.7590500345861194,0.7727996361155334,0.7630797349782956,0.7614969497430929,0.0063100406653814126,1,0.6884408336463131,0.6867852255980109,0.6897806066755838,0.7187733755246446,0.6961909560375883,0.6959941994964283,0.011827060880300073,1
21.49635319709778,0.8105033971405462,0.22915043830871581,0.08525200729159205,150,1,,10,balanced,"{'n_estimators': 150, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'class_weight': 'balanced'}",0.6388355726167626,0.6381957773512476,0.6330774152271273,0.66016,0.64352,0.6427577530390275,0.00930938538587145,14,0.7357222844344905,0.7411021814006888,0.7378752886836027,0.7645687645687645,0.753700414446418,0.7465937867067929,0.010935844596948668,2,0.6666666666666666,0.6549974632166413,0.6484018264840182,0.665989847715736,0.6458650431253171,0.6563841694416759,0.008652069995029175,14,0.6994942773489486,0.6953945596552653,0.6902511477180664,0.7118827997829625,0.6956284153005464,0.6985302399611579,0.007294061524161192,14,0.6842910514143391,0.6853479346630031,0.6842361426836312,0.7119445360054497,0.693074273675399,0.6917787876883643,0.01060800874755683,3
