mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
15.283509778976441,0.6680114147185547,0.058519935607910155,0.01478286580260113,1.0,300,1,2,0.2,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.2}",0.6583493282149712,0.6615483045425464,0.6679462571976967,0.67872,0.6624,0.6657927779910429,0.007164942197711774,9,0.6909090909090909,0.6928601605407689,0.7025618758141554,0.7065868263473054,0.6970740103270223,0.6979983927876686,0.005866867699608781,1,0.8290208016235413,0.8320649416539827,0.8209030948756976,0.8385786802030457,0.821917808219178,0.8284970653150889,0.006566551774073587,12,0.753690036900369,0.756108805901337,0.7571361722040243,0.7669452181987001,0.7543655413271245,0.7576491549063109,0.0048064405243062385,11,0.6836848590273248,0.6857195569524337,0.6890426333348707,0.7140633309161228,0.6913038011302535,0.6927628362722011,0.010969933636543604,11
13.435768556594848,0.5791672573735013,0.05933685302734375,0.008530680809718763,0.8,300,5,2,0.03,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_leaf': 5, 'max_depth': 2, 'learning_rate': 0.03}",0.663787587971849,0.6583493282149712,0.6605886116442738,0.68608,0.6752,0.6688011055662189,0.01040505749830844,6,0.6919866444073456,0.6866473749483257,0.6918212478920742,0.7059558517284464,0.7013479359730412,0.6955518109898466,0.007039255976539522,9,0.8411973617453069,0.8427194317605277,0.832572298325723,0.8604060913705583,0.8447488584474886,0.8443288083299209,0.009047287441031652,6,0.7593313487520037,0.7567198177676537,0.7556988256965231,0.7755662319835278,0.766398158803222,0.7627428766005862,0.007420700025789687,6,0.6957010856554235,0.6969402658900374,0.6921041245242159,0.7229010921396708,0.6990689081807526,0.7013430952780201,0.011013581755551867,1
12.78410301208496,0.7945453899218461,0.06634259223937988,0.023688070628057712,0.8,300,1,2,0.03,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.03}",0.664427383237364,0.6593090211132437,0.6625079974408189,0.68672,0.67392,0.6693768803582854,0.009944491933202036,2,0.6924040066777963,0.6873449131513648,0.692436974789916,0.7070622649394066,0.7010135135135135,0.6960523346143994,0.007043183566526304,8,0.8417047184170472,0.8432267884322678,0.8361237950279046,0.8588832487309644,0.8422120750887874,0.8444301251393943,0.007637846666884229,5,0.7597893290588504,0.7573479152426521,0.7575270052861411,0.7756131102452442,0.7651532611200738,0.7630861241905922,0.006868742792729861,5,0.6957456715447582,0.696748304967483,0.6917522693778402,0.7227481486364735,0.6990143915193179,0.7012017572091745,0.011026572269935555,2
15.466710090637207,0.16270409836054317,0.06078782081604004,0.023170184758897126,1.0,300,5,2,0.2,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 5, 'max_depth': 2, 'learning_rate': 0.2}",0.6599488163787588,0.6570697376839412,0.6628278950735764,0.68096,0.66592,0.6653452898272553,0.008343781287454293,11,0.6915611814345991,0.6908704883227176,0.6994345367551109,0.7081728712023962,0.6988416988416989,0.6977761553113045,0.006297482833542242,2,0.8315575849822425,0.8254693049213597,0.8158295281582952,0.8401015228426396,0.8264840182648402,0.8278883918338755,0.007948131694369417,13,0.7551255471089611,0.7521960240406842,0.7531615925058548,0.7685163687021128,0.7573221757322176,0.7572643416179661,0.005894171588612049,12,0.6842866587158826,0.6848590273247807,0.6868049927410658,0.7153295097457535,0.6891631428679457,0.6920886662790856,0.011745226262218529,12
19.63671989440918,0.11739190372451663,0.06550521850585937,0.008414005971596627,0.8,200,1,5,0.1,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",0.6525911708253359,0.6468330134357005,0.6605886116442738,0.67872,0.65248,0.6582425591810621,0.011136898647569933,15,0.6893453145057766,0.6874189364461738,0.6974826388888888,0.7071183533447685,0.6916414032048506,0.6946013292780917,0.007112685245346795,11,0.817351598173516,0.806697108066971,0.8153221714865551,0.8370558375634518,0.8102486047691527,0.8173350640119293,0.010548411543488841,15,0.7479108635097493,0.742296918767507,0.751812865497076,0.7666201766620176,0.7462616822429906,0.7509805013358681,0.008395079637985846,15,0.6748243469704658,0.6744579959191831,0.684127203761907,0.7062333267409409,0.6817079894167333,0.6842701725618461,0.011614368649316592,14
12.426745986938476,1.0608203011721495,0.06334328651428223,0.02314741483330536,1.0,100,5,5,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.1}",0.6580294305822136,0.6570697376839412,0.6573896353166987,0.68128,0.6688,0.6645137607165708,0.009462471197512532,12,0.6919148936170213,0.6910327241818954,0.692967409948542,0.7063559322033899,0.7,0.6964541919901697,0.005878305973919992,7,0.8249619482496194,0.8249619482496194,0.8198883815322171,0.8461928934010152,0.8310502283105022,0.8294110799485945,0.009105903590343134,11,0.7526035639898172,0.7520814061054579,0.7511038810132465,0.7699769053117783,0.7599164926931107,0.7571364498226821,0.007142805372209037,13,0.6839971798875908,0.6841807946830778,0.6841691540321677,0.7118271914211001,0.6946345932837232,0.6917617826615319,0.010828500487413118,13
9.816664791107177,1.0461685142959365,0.06211485862731934,0.026139671412709068,0.8,100,5,5,0.03,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.03}",0.6589891234804862,0.6573896353166987,0.6615483045425464,0.67968,0.67584,0.6666894126679462,0.009216288980534405,7,0.6858316221765913,0.6844262295081968,0.6898128898128898,0.6979975480179812,0.6982615894039735,0.6912659757839266,0.005876707611382807,13,0.8472856418061897,0.8472856418061897,0.8417047184170472,0.867005076142132,0.8559107052257737,0.8518383566794665,0.008840344470778114,3,0.758057194734453,0.7571979143051463,0.7582266910420475,0.7733755942947702,0.7690904946432642,0.7631895778039363,0.006714869826916767,4,0.6920006764755623,0.6900604215672709,0.6919334681891759,0.7211941020062849,0.6973920811911363,0.6985161498858861,0.01160030582600896,7
9.841072463989258,1.3967264800978874,0.05291881561279297,0.02115968441307418,1.0,200,5,2,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 5, 'max_depth': 2, 'learning_rate': 0.1}",0.6628278950735764,0.6583493282149712,0.6653870761356366,0.68256,0.67744,0.6693128598848368,0.009156448012271749,3,0.6912807676261994,0.6882034180908712,0.6967247979583157,0.704602510460251,0.7029077117572693,0.6967438411785813,0.006364532114610469,5,0.8406900050735667,0.8376458650431253,0.8310502283105022,0.8548223350253807,0.8462709284627092,0.8420958723830569,0.00803964210459155,7,0.7586996336996337,0.7556064073226545,0.7579824155483572,0.7724770642201835,0.7679558011049724,0.7625442643791602,0.006506469899572388,7,0.6926075277673451,0.6941140037030448,0.6908109140985853,0.7201900806469335,0.6992306995630753,0.6993906451557967,0.01077132778150477,5
22.53938994407654,1.1405965118276282,0.06748685836791993,0.024751607609677064,1.0,300,5,3,0.2,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 5, 'max_depth': 3, 'learning_rate': 0.2}",0.6535508637236085,0.6404350607805502,0.6657069737683942,0.6704,0.66144,0.6583065796545104,0.010515160413733916,14,0.6907216494845361,0.6809055958991884,0.7002595155709342,0.7047038327526133,0.696852091418715,0.6946885370251975,0.008267146798281107,10,0.8158295281582952,0.808726534753932,0.8214104515474379,0.8213197969543147,0.8198883815322171,0.8174349385892393,0.004802704448173503,14,0.7480809490579204,0.7393320964749536,0.7560121410226477,0.7585560243788092,0.7533799533799533,0.7510722328628568,0.006819295906098841,14,0.6730202657143296,0.6695258740920842,0.681536829482035,0.7028312127804514,0.6799080602883931,0.6813644484714586,0.011599568792595475,15
16.04894299507141,0.14087090568185884,0.06186985969543457,0.014334236176036762,1.0,300,5,2,0.03,"{'subsample': 1.0, 'n_estimators': 300, 'min_samples_leaf': 5, 'max_depth': 2, 'learning_rate': 0.03}",0.6628278950735764,0.6621880998080614,0.6653870761356366,0.68128,0.67296,0.6689286142034548,0.007266424191274001,5,0.6882956878850103,0.6866585067319462,0.6937578550481777,0.7002467105263158,0.6976259891711787,0.6933169498725258,0.005221718812300564,12,0.8503297818366311,0.8538812785388128,0.8401826484018264,0.8644670050761422,0.8498224251648909,0.8517366278036607,0.007820484123259018,4,0.7607807535179301,0.7611940298507462,0.7599816429554842,0.7737392094502499,0.7662397072278133,0.7643870686004448,0.005167273718372909,3,0.6946499129147531,0.6966040048231829,0.6917896073147214,0.7220585843936098,0.699602863707467,0.7009409946307468,0.010861659830031034,3
