mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_samples,param_max_features,param_estimator__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
4.254878568649292,0.3319116238308611,0.17140278816223145,0.04332724386784816,100,0.7,0.7,5,"{'n_estimators': 100, 'max_samples': 0.7, 'max_features': 0.7, 'estimator__max_depth': 5}",0.6548304542546385,0.6516314779270633,0.6596289187460013,0.6576,0.66752,0.6582421701855405,0.005361989144201458,7,0.6580439404677534,0.6569395017793594,0.6626030835424883,0.6602564102564102,0.6666666666666666,0.6609019205425356,0.0034759674774142543,15,0.9421613394216134,0.9365804160324708,0.9375951293759512,0.9411167512690355,0.945712836123795,0.9406332944445733,0.0032871466663782637,2,0.7748800333820154,0.7722233842292408,0.7764705882352941,0.7760569275847635,0.7820432137612754,0.7763348294385178,0.0032156406746534673,2,0.6966859286493989,0.690295870204546,0.6869631298855043,0.722531918166436,0.7007413386654144,0.6994436371142599,0.012504418477952398,1
13.713709735870362,0.9023727693271286,0.20361504554748536,0.047908386191968584,100,0.85,1.0,10,"{'n_estimators': 100, 'max_samples': 0.85, 'max_features': 1.0, 'estimator__max_depth': 10}",0.6506717850287908,0.6596289187460013,0.6599488163787588,0.67424,0.66592,0.6620819040307101,0.00778855947712807,4,0.6853648249683678,0.689194826866917,0.6933560477001703,0.6980033277870217,0.6956521739130435,0.6923142402471041,0.004530297860343063,7,0.8244545915778793,0.8381532217148655,0.8259766615930999,0.8517766497461929,0.8361237950279046,0.8352969839319885,0.009847303962707303,11,0.7485029940119761,0.7564102564102564,0.7538782125492012,0.7672610882487426,0.759447004608295,0.7570999111656942,0.006221258997123846,9,0.6866776044858237,0.6820845989795761,0.6837489924247915,0.7115467949985717,0.6915376951938288,0.6911191372165183,0.010706386147012218,6
6.359590530395508,1.192418971722015,0.10629830360412598,0.020389109509139296,50,0.85,1.0,10,"{'n_estimators': 50, 'max_samples': 0.85, 'max_features': 1.0, 'estimator__max_depth': 10}",0.6500319897632757,0.6541906589891234,0.6612284069097889,0.67808,0.66528,0.6617622111324376,0.009735055359058574,5,0.6852555978031263,0.6887192536047498,0.6942078364565588,0.7001661129568106,0.6967247979583157,0.6930147197559122,0.005384898056178102,5,0.8229325215626585,0.823947234906139,0.8269913749365804,0.8558375634517766,0.8310502283105022,0.8321517846335313,0.012175128915943703,12,0.747810050714615,0.7502887502887503,0.7548043528594582,0.7702147099132024,0.7579824155483572,0.7562200558648766,0.007834143744540854,10,0.6854757621880909,0.6791221631404278,0.680891102808911,0.7092021007757048,0.6913279819075028,0.6892038221641275,0.010854333558310319,8
9.507918787002563,1.4456881975085278,0.15719180107116698,0.05102838048912967,50,0.85,1.0,,"{'n_estimators': 50, 'max_samples': 0.85, 'max_features': 1.0, 'estimator__max_depth': None}",0.6493921944977608,0.6439539347408829,0.6487523992322457,0.65184,0.63872,0.6465317056941778,0.004668179802937447,14,0.6959247648902821,0.696969696969697,0.6999541914796152,0.6953055801594331,0.6911898274296094,0.6958688121857274,0.0028325088049670085,1,0.7884322678843226,0.7701674277016742,0.7752409944190766,0.7969543147208121,0.7721968543886352,0.7805983718229041,0.010363188492798183,15,0.7392959086584205,0.7317425885755604,0.7356764564275398,0.7426679280983917,0.7294512341241314,0.7357668231768086,0.004820144994349759,15,0.6688122802278054,0.6608665476245386,0.6624081651478911,0.68213351792032,0.6677796418958786,0.6684000305632867,0.0075075871385546925,13
20.151626348495483,0.7415237492772258,0.3650832653045654,0.12377922435685763,200,1.0,0.7,10,"{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.7, 'estimator__max_depth': 10}",0.6525911708253359,0.6567498400511836,0.661868202175304,0.66048,0.65664,0.6576658426103646,0.0032626067860564677,8,0.6601520086862106,0.6654384672070744,0.6685103244837758,0.6656944950783813,0.6631540697674418,0.6645898730445768,0.002795224945910343,13,0.9254185692541856,0.9162861491628614,0.9198376458650431,0.9269035532994924,0.9259259259259259,0.9228743687015017,0.004114501397391632,3,0.770595690747782,0.7709711846318036,0.7742899850523169,0.7748779970294929,0.7728138894770273,0.7727097493876846,0.0017147092519450631,3,0.68879356733238,0.6854502845370426,0.6793141240629825,0.7148807875711429,0.6917210294504281,0.6920319585907951,0.012146724571445194,5
28.47547264099121,1.0538306708181842,0.5718770980834961,0.15752571031674295,200,0.85,0.7,,"{'n_estimators': 200, 'max_samples': 0.85, 'max_features': 0.7, 'estimator__max_depth': None}",0.6497120921305183,0.6509916826615483,0.653230966090851,0.6624,0.64576,0.6524189481765835,0.005549531798589322,10,0.6664133738601824,0.6705426356589147,0.6710374084072502,0.6742857142857143,0.6660261337432744,0.6696610531910672,0.003092542384423261,12,0.8899036022323693,0.8777270421106037,0.882800608828006,0.8984771573604061,0.8792491121258245,0.8856315045314419,0.007674516855594281,4,0.7621116663045839,0.7602724675895408,0.7624890446976337,0.7704026115342764,0.757926962606604,0.7626405505465278,0.004204235756941359,7,0.6644687799938942,0.6610778364203022,0.6590976079560555,0.6941439778495616,0.6670153095095522,0.6691607023458731,0.012785769362392488,11
42.00478148460388,1.9115900287750567,0.4960746765136719,0.06064269418813471,200,1.0,1.0,,"{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'estimator__max_depth': None}",0.6455534229046705,0.6497120921305183,0.6490722968650032,0.65952,0.63776,0.6483235623800384,0.007030097530540931,13,0.6880174291938997,0.6948398576512456,0.6940497335701599,0.6969565217391305,0.6853733981440565,0.6918473880596985,0.004392939273416694,8,0.8011161846778285,0.7924911212582445,0.7929984779299848,0.8137055837563452,0.786910197869102,0.797444313098301,0.009307832268804503,13,0.7402719174871074,0.7404598246029865,0.7402320625147999,0.7508196721311475,0.7326405290505432,0.7408848011573169,0.005790543722960112,13,0.6664006887751179,0.6669313267486785,0.6690508037540002,0.691656448458479,0.6664171650105032,0.6720912865493557,0.009831010523537192,10
14.726353311538697,0.7806456572573763,0.25265913009643554,0.09958030814077631,100,1.0,1.0,10,"{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 1.0, 'estimator__max_depth': 10}",0.6570697376839412,0.6580294305822136,0.6593090211132437,0.67232,0.6672,0.6627856378758799,0.005962726574571315,3,0.6895824546604808,0.6882303839732888,0.6939212328767124,0.6970833333333334,0.6956704497688104,0.6928975709225252,0.003435985381294696,6,0.8295281582952816,0.8366311516996449,0.8224251648909183,0.849238578680203,0.8396752917300863,0.8354996690592268,0.009100278185630868,10,0.753109166282819,0.7552095259903824,0.7527281170188066,0.765675057208238,0.7609195402298851,0.7575282813460262,0.00501632087641874,8,0.6835227684542752,0.681323344337043,0.6859277708592777,0.7102792976904653,0.691052760697356,0.6904211884076833,0.010443114034573955,7
7.041545629501343,1.2417100274924269,0.1435166835784912,0.034150128760717345,50,0.85,0.7,,"{'n_estimators': 50, 'max_samples': 0.85, 'max_features': 0.7, 'estimator__max_depth': None}",0.6420345489443378,0.6490722968650032,0.6362763915547025,0.6576,0.64192,0.6453806474728087,0.007334859010701293,15,0.6717741935483871,0.678659035159444,0.6685529506871464,0.6817447495961227,0.6740196078431373,0.6749501073668475,0.004728618824246737,10,0.8452562151192288,0.8422120750887874,0.839167935058346,0.8568527918781725,0.837138508371385,0.844125505103184,0.006932808554876165,9,0.7485958211637834,0.7516413855558071,0.744206974128234,0.7593342330184435,0.7467752885268161,0.7501107404786168,0.0052094215870421585,12,0.6434016178308415,0.6493152881280735,0.6464180838610063,0.6660373129408662,0.6436008430737901,0.6497546291669155,0.008422365253603079,15
15.041950750350953,0.1010916690872713,0.2504007816314697,0.004077485532779687,200,0.85,1.0,5,"{'n_estimators': 200, 'max_samples': 0.85, 'max_features': 1.0, 'estimator__max_depth': 5}",0.6577095329494562,0.6657069737683942,0.6641074856046065,0.68192,0.67776,0.6694407984644914,0.008999420522001415,2,0.6873180873180873,0.6895986895986896,0.6934061318773624,0.6998361998361998,0.7018425460636516,0.6944003309387983,0.005641588476133907,3,0.8386605783866058,0.854388635210553,0.8376458650431253,0.86751269035533,0.8503297818366311,0.8497075101664491,0.011016737993599333,7,0.7554844606946983,0.7631996374348515,0.7587316176470589,0.7747053490480508,0.7689837118605185,0.7642209553370356,0.0069297708238737895,5,0.6925405391158815,0.6895767854671965,0.6912350291345726,0.7181136967938998,0.6993669912166623,0.6981666083456426,0.01051486337543301,3
