mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,param_estimator__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
16.69549412727356,0.38186122654471305,0.28155007362365725,0.044222547620511136,200,1.0,3,"{'n_estimators': 200, 'learning_rate': 1.0, 'estimator__max_depth': 3}",0.6605886116442738,0.6605886116442738,0.6477927063339731,0.6736,0.66016,0.6605459859245041,0.008163406676570579,10,0.7025823686553874,0.6926333615580017,0.6888020833333334,0.7077865266841645,0.6915297092288243,0.6966668098919422,0.00725471390959375,3,0.8006088280060882,0.8300355149670218,0.8051750380517504,0.8213197969543147,0.832572298325723,0.8179422952609796,0.012923949968523519,14,0.748399336020868,0.7551350103854143,0.7424561403508771,0.7603383458646616,0.755524861878453,0.7523707389000548,0.006247299489703565,14,0.6875469195103897,0.6877434927663238,0.6738351112780335,0.7081763245215021,0.6869772006046073,0.6888558097361713,0.011003483890788798,13
5.280131816864014,1.164850576090963,0.16269216537475586,0.04606671656912937,100,0.03,2,"{'n_estimators': 100, 'learning_rate': 0.03, 'estimator__max_depth': 2}",0.6500319897632757,0.6548304542546385,0.6589891234804862,0.67328,0.66464,0.6603543134996801,0.00805441012551822,11,0.6697638404955478,0.6703590527119939,0.6754556029468787,0.6799393249905196,0.6800624268435427,0.6751160495976964,0.004452439589570764,12,0.8777270421106037,0.8904109589041096,0.8838153221714865,0.9101522842639594,0.8843226788432268,0.8892856572586773,0.011178906308136206,3,0.7597716293368467,0.7648725212464589,0.7657142857142857,0.7783807249837205,0.768857520952801,0.7675193364468226,0.006165246191927396,3,0.6824175655225884,0.6843503528435035,0.6867507429151265,0.7120561671830707,0.6886428165065899,0.6908435289941759,0.010814141197737574,9
16.21380033493042,0.1706575909008173,0.26526436805725095,0.0026271774025526783,200,0.03,3,"{'n_estimators': 200, 'learning_rate': 0.03, 'estimator__max_depth': 3}",0.6577095329494562,0.6602687140115163,0.663787587971849,0.68224,0.66976,0.6667531669865644,0.008735137634084487,6,0.6811419380780056,0.6807157057654075,0.6888341543513957,0.6981744421906694,0.6917109024091466,0.6881154285589249,0.0066032298328073434,10,0.8594622019279553,0.8685946220192795,0.8513444951801116,0.8736040609137056,0.8594622019279553,0.8624935163938015,0.007789044847566543,7,0.7599820547330641,0.76326348640214,0.7615157703653279,0.7760992108229988,0.7665158371040725,0.7654752718855207,0.005739267139945115,9,0.6911280669271537,0.694746332645876,0.6889580738895807,0.7184178258289933,0.6974723174065545,0.6981445233396316,0.010551093485694185,4
3.9001652717590334,0.9878044769415427,0.11901187896728516,0.03887503921738399,50,0.5,3,"{'n_estimators': 50, 'learning_rate': 0.5, 'estimator__max_depth': 3}",0.6628278950735764,0.6647472808701216,0.6589891234804862,0.68064,0.67648,0.6687368598848368,0.008336569250097167,3,0.6935415787252005,0.6946436102910164,0.7013796172674678,0.7098445595854922,0.705655526992288,0.7010129785722929,0.006262190845625257,2,0.8335870116692035,0.8356164383561644,0.7995941146626078,0.8345177664974619,0.8356164383561644,0.8277863539083204,0.014116531758986566,11,0.7571428571428571,0.7586365730078305,0.7472735893788526,0.7671488567428838,0.7651567944250871,0.7590717341395024,0.007005341100920198,10,0.6902405222039925,0.6911610121655782,0.6893692304651209,0.7165183378381349,0.6953288014160264,0.6965235808177705,0.010204278545633168,7
5.7762367725372314,1.229176508632631,0.16491432189941407,0.04290966222934743,100,0.1,2,"{'n_estimators': 100, 'learning_rate': 0.1, 'estimator__max_depth': 2}",0.6593090211132437,0.6609085092770314,0.6625079974408189,0.67968,0.67136,0.6667531055662188,0.0076931491360699685,7,0.6814903846153846,0.677999218444705,0.6863303498779495,0.6929510155316607,0.6877486077963405,0.685303915253208,0.0051654591998737,11,0.863013698630137,0.8802638254693049,0.8559107052257737,0.883248730964467,0.8772196854388635,0.8719313291457091,0.010598729319966395,5,0.7615849563465413,0.7660044150110376,0.7617972454278619,0.7766123633117608,0.7710144927536232,0.767402694570165,0.005746049221839132,4,0.6907127372880797,0.692679348387111,0.6897830226597348,0.7186432856483618,0.6977906243652545,0.6979218036697084,0.010724651558112678,5
7.9566343307495115,1.1983146316923465,0.17157931327819825,0.05586551129348949,100,0.5,3,"{'n_estimators': 100, 'learning_rate': 0.5, 'estimator__max_depth': 3}",0.663147792706334,0.6647472808701216,0.6567498400511836,0.68064,0.6752,0.6680969827255279,0.008628473422190992,4,0.6951530612244898,0.6953025814642404,0.6999109528049866,0.711120764552563,0.7042735042735043,0.7011521728639568,0.006014369746924293,1,0.8295281582952816,0.8335870116692035,0.7975646879756468,0.8309644670050761,0.8361237950279046,0.8255536239946226,0.014175461316430927,13,0.7564191533657183,0.7581910475311491,0.7455537111690775,0.7663857677902621,0.764555787520297,0.7582210934753009,0.0073552800180876786,11,0.6905082571749239,0.6914443412160307,0.6890356050173402,0.7170235348407937,0.6958146152134899,0.6967652706925157,0.010377969476195702,6
2.7243167400360107,0.5492466923959263,0.12384905815124511,0.043788141074398546,50,1.0,2,"{'n_estimators': 50, 'learning_rate': 1.0, 'estimator__max_depth': 2}",0.6535508637236085,0.6609085092770314,0.6490722968650032,0.67936,0.66976,0.6625303339731287,0.010953407630018104,9,0.6879762912785775,0.6937473415567843,0.6869118905047049,0.7117235345581803,0.6961972419557041,0.6953112599707902,0.008910047532518495,6,0.8244545915778793,0.8274987316083207,0.8148148148148148,0.8258883248730965,0.8452562151192288,0.8275825355986679,0.009879625991894174,12,0.7500576967459035,0.7547431744562703,0.7454165699698306,0.7645676691729323,0.763519706691109,0.7556609634072091,0.007460238392107533,13,0.6776385292367028,0.6922181150491653,0.6785948196907101,0.7168556485815369,0.6888580254241088,0.6908330275964447,0.014190591414563355,10
3.169676494598389,0.7557519564567539,0.111767578125,0.04487928939212155,50,0.03,2,"{'n_estimators': 50, 'learning_rate': 0.03, 'estimator__max_depth': 2}",0.6519513755598209,0.6516314779270633,0.6567498400511836,0.66816,0.66112,0.6579225387076135,0.006190909943624563,13,0.669221924108854,0.6680640243902439,0.6751170046801872,0.6763705103969754,0.6813842482100239,0.6740315423572568,0.004887841684928687,13,0.8858447488584474,0.8893962455606291,0.878234398782344,0.9081218274111675,0.8691019786910198,0.8861398398607216,0.013012945441610874,4,0.7624454148471616,0.7630032644178455,0.7633958103638369,0.7752979414951245,0.7638795986622073,0.7656044059572352,0.0048695512743156645,8,0.6765052130348934,0.6771024003900716,0.6834636866600337,0.7029235062737601,0.6822186434671893,0.6844426899651896,0.009636688153027146,14
6.413381481170655,1.4217523463231487,0.26732072830200193,0.07221206336859785,200,0.5,1,"{'n_estimators': 200, 'learning_rate': 0.5, 'estimator__max_depth': 1}",0.6596289187460013,0.661868202175304,0.6599488163787588,0.68672,0.67552,0.6687371874600129,0.010740270730954021,2,0.6822016874246686,0.6841257050765511,0.6862182116488925,0.7005261027923917,0.698136645962733,0.6902416705810474,0.0075674932067751124,8,0.8614916286149162,0.8614916286149162,0.8488077118214105,0.8786802030456853,0.8554033485540334,0.8611749041301924,0.009928689926574303,8,0.7614349775784753,0.7626319335279587,0.7589022454071218,0.779554154469714,0.7688098495212038,0.7662666321008947,0.007400220484071736,7,0.6937913600014056,0.6939167715423422,0.6873841700325719,0.7253673061287274,0.6993845772364801,0.6999688369883055,0.013255837616742275,2
11.260696935653687,1.4442617410855705,0.2936540603637695,0.04807006165430229,200,0.1,2,"{'n_estimators': 200, 'learning_rate': 0.1, 'estimator__max_depth': 2}",0.6602687140115163,0.6621880998080614,0.6653870761356366,0.68,0.67232,0.6680327779910429,0.007253073362571997,5,0.6831922611850061,0.6810447170557974,0.6908790755262072,0.6943108974358975,0.6916228247673006,0.6882099551940417,0.005148033975338131,9,0.8599695585996956,0.8731608320649417,0.8493150684931506,0.8796954314720812,0.8670725520040589,0.8658426885267856,0.010532066798524538,6,0.761455525606469,0.7652289906625167,0.7619481110605371,0.7760859829825347,0.7694732102656461,0.7668383641155406,0.005439494042866947,6,0.6926536511011396,0.6943465970863232,0.6903865794276753,0.7199641813347397,0.6985024185173754,0.6991706854934506,0.010730518493140537,3
